machine ID,machine description
42483,1RB---_0RC0RB_1LD1RC_0LE1LB_1LC1LA
42642,1RB---_0RC0RB_1LD1RD_0LE0RB_0LB1LA
42651,1RB---_0RC0RB_1LD1RD_0LE1RE_0LB1LA
43382,1RB---_0RC0RB_1LD1LA_0RE0LE_1LC1RD
43400,1RB---_0RC0RB_1LD1LA_0RE1LE_0LC1RC
43513,1RB---_0RC0RB_1LD1LA_1RD0RE_1LE0LC
43551,1RB---_0RC0RB_1LD1LA_1RE1LE_1LC0LD
43699,1RB---_0RC0RB_1LD1LA_1LE0LB_0LC0LA
43701,1RB---_0RC0RB_1LD1LA_1LE0LB_1LC0LA
44397,1RB---_0RC0RB_1LD1LC_1LE0LB_0LA1LA
45841,1RB---_0RC0RC_0RD0LD_1LE0RE_1LA1LC
47000,1RB---_0RC0RC_0RD1LD_0LE1LA_1LE1LC
52323,1RB---_0RC0RC_1RD0RD_0LE0RE_1LA1LD
52595,1RB---_0RC0RC_1RD0LA_0LE0RE_1LA1LD
53119,1RB---_0RC0RC_1RD0LE_1RE1RA_1LC0LD
53314,1RB---_0RC0RC_1RD1RA_1LE0LB_1RC0LD
53916,1RB---_0RC0RC_1RD1LA_0LE0RE_1LA1LD
64354,1RB---_0RC0RD_0RD0LE_1RE1RA_1LC0LC
64355,1RB---_0RC0RD_0RD0LE_1RE1RA_1LC0LD
64446,1RB---_0RC0RD_0RD0LE_1LD1RE_1RA0LE
65328,1RB---_0RC0RD_0RD1LA_1LD1RE_1RA0LE
69163,1RB---_0RC0RD_0LD0LE_1LC0RB_1RA0LA
69431,1RB---_0RC0RD_0LD1RA_1LE1LD_1RB0LE
74246,1RB---_0RC0RD_1RD0LA_1LE0RB_0LE0LC
75140,1RB---_0RC0RD_1RD0LE_1RE1RA_1LC0LD
75466,1RB---_0RC0RD_1RD1RA_1LD0LE_1LB0LA
84415,1RB---_0RC0RD_1LA1LD_0RE0LE_1LC0RC
84481,1RB---_0RC0RD_1LA1LD_0LE0RE_1LC0RC
84548,1RB---_0RC0RD_1LA1LD_1RE0LC_1LC1RD
84915,1RB---_0RC0RD_1LA1LE_1RE0RE_0LC0RC
84924,1RB---_0RC0RD_1LA1LE_1RE0LB_0LC0RC
84940,1RB---_0RC0RD_1LA1LE_1RE1LA_0LC0RC
93499,1RB---_0RC0RD_1LC1LD_0RE1LE_0LC1LA
93614,1RB---_0RC0RD_1LC1LD_0LE1LA_0RA0LB
93857,1RB---_0RC0RD_1LC1LD_1LA0LE_1RA0LE
94280,1RB---_0RC0RD_1LD0RA_0LE0LC_1RB0LB
94422,1RB---_0RC0RD_1LD0RB_0LE1LA_1RB0LC
94457,1RB---_0RC0RD_1LD0RB_1RE0LE_0LA1RC
94653,1RB---_0RC0RD_1LD0RC_0LE---_1RA0LC
95843,1RB---_0RC0RD_1LD0LA_1LE0RB_0LC1LB
96975,1RB---_0RC0RD_1LD0LE_0LC0LA_1RA1RB
97584,1RB---_0RC0RD_1LD1RA_0LE0LA_0RB0LD
97600,1RB---_0RC0RD_1LD1RA_0LE0LD_1RA1LD
97601,1RB---_0RC0RD_1LD1RA_0LE0LD_1RB1LD
97974,1RB---_0RC0RD_1LD1RB_1LE0RB_1LC0LA
99147,1RB---_0RC0RD_1LD1RE_0LE---_1RB0LB
103530,1RB---_0RC0RE_0RD0RB_1LD0LE_0LA1LB
108401,1RB---_0RC0RE_0LD0RB_1LE0RB_1LC1LA
110507,1RB---_0RC0RE_0LD1RA_1RC0LE_0LA1LD
110704,1RB---_0RC0RE_0LD1RA_1LD0LE_1LB1RC
115220,1RB---_0RC0RE_0LD1LC_1LE0RA_0LA1RC
118397,1RB---_0RC0RE_1RD1RA_1LE0LB_0LA0LD
118403,1RB---_0RC0RE_1RD1RA_1LE1RC_1LB0LE
118404,1RB---_0RC0RE_1RD1RA_1LE1RD_1LB0LE
122034,1RB---_0RC0RE_1RD1LE_1LC0RA_0RE0LD
125998,1RB---_0RC0RE_1LC0LD_1RA0LD_1RA0LA
125999,1RB---_0RC0RE_1LC0LD_1RA0LD_1RB1RD
126004,1RB---_0RC0RE_1LC0LD_1RA0LD_1RC1RD
126007,1RB---_0RC0RE_1LC0LD_1RA0LD_1RD1RD
126642,1RB---_0RC0RE_1LC0LD_1LE1RA_1LA0RB
127494,1RB---_0RC0RE_1LC1RD_1RA0LE_1LA0LD
129384,1RB---_0RC0RE_1LD0RA_0LD1LB_0RB1LA
129520,1RB---_0RC0RE_1LD0RB_0LD0LE_1LA1RA
130031,1RB---_0RC0RE_1LD0RC_0LE0LA_0RA1LC
130033,1RB---_0RC0RE_1LD0RC_0LE0LD_0RA1LC
131303,1RB---_0RC0RE_1LD0LA_1LB0LC_1LC1RB
133326,1RB---_0RC0RE_1LD1RA_1LB0LD_1LD1RE
136178,1RB---_0RC0RE_1LD1RE_1RD1LB_1RA0LC
136993,1RB---_0RC0RE_1LD1LA_0LE0RD_1RB0LC
137171,1RB---_0RC0RE_1LD1LA_1LB0LC_1RC0RD
137469,1RB---_0RC0RE_1LD1LA_1LE0LD_1RB0LC
141659,1RB---_0RC0LA_0RD1RD_1LE0LB_1LD0LA
144207,1RB---_0RC0LA_1RD0LD_1LE0RE_1RC1LB
145137,1RB---_0RC0LA_1RD1LE_1LE0RB_0LB0LC
145904,1RB---_0RC0LA_1LD0RB_1LE0LD_1LB1LC
146150,1RB---_0RC0LA_1LD0RD_1LE1LB_0RB0LC
146797,1RB---_0RC0LA_1LD1RC_0LE0RB_1LB0RC
146801,1RB---_0RC0LA_1LD1RC_0LE1RE_1LB0RC
151563,1RB---_0RC0LB_0LD1RE_1LE0RA_0RD1LA
152876,1RB---_0RC0LB_1RD0RD_1LE1RA_1RE0LD
153165,1RB---_0RC0LB_1RD0RE_1LB1LD_0RA1RE
154724,1RB---_0RC0LB_1RD1RA_0LE0RD_1LB1LE
157609,1RB---_0RC0LB_1RD1LD_1RE1LA_0LC1RA
159410,1RB---_0RC0LB_1LB1RD_0LE1RE_1RA1LC
160716,1RB---_0RC0LB_1LD0RA_0LD1LE_0LA1LA
160719,1RB---_0RC0LB_1LD0RA_0LE0LC_1RB1RC
160729,1RB---_0RC0LB_1LD0RA_1LE0RC_1RD0LC
160730,1RB---_0RC0LB_1LD0RA_1LE0LA_0RD0LC
162158,1RB---_0RC0LB_1LD1RA_0LD0LE_0RA0RB
162425,1RB---_0RC0LB_1LD1RC_0LE0RD_1RB1LA
162647,1RB---_0RC0LB_1LD1RC_1LB1RE_1RA1RE
162670,1RB---_0RC0LB_1LD1RC_1LB1LE_1RA1RE
163311,1RB---_0RC0LB_1LD1RE_1LB0RA_1RA0LD
163425,1RB---_0RC0LB_1LD1RE_1LB1RC_1RA0RD
163426,1RB---_0RC0LB_1LD1RE_1LB1RC_1RA1RC
163483,1RB---_0RC0LB_1LD1RE_1LB1LC_1RA1RC
164857,1RB---_0RC0LC_0RD0LA_0LE0RC_1LE1LB
164860,1RB---_0RC0LC_0RD0LA_0LE0RE_1LE1LB
165412,1RB---_0RC0LC_0RD1RA_0LD1LE_0LA1LD
165423,1RB---_0RC0LC_0RD1RA_0LD1LE_1LA0LD
168313,1RB---_0RC0LC_0LD0RA_1LE1LC_1RC0LE
169926,1RB---_0RC0LC_0LD1RA_1RC0LE_0LA1LD
171303,1RB---_0RC0LC_0LD1RE_1LB0RE_1LC0RA
174171,1RB---_0RC0LC_1RD0LA_1LE0RB_1LC0LD
174469,1RB---_0RC0LC_1RD0LD_1RE0LB_1LB1RA
174476,1RB---_0RC0LC_1RD0LD_1RE0LD_1LB1RA
174687,1RB---_0RC0LC_1RD0LE_1RE1RA_1LC0LD
174714,1RB---_0RC0LC_1RD0LE_1LB0RE_1RA1LB
174775,1RB---_0RC0LC_1RD0LE_1LC0RA_1RA1LB
174874,1RB---_0RC0LC_1RD0LE_1LE0RA_0RB1LA
174875,1RB---_0RC0LC_1RD0LE_1LE0RA_0RD1LA
174934,1RB---_0RC0LC_1RD1RA_0LE0RE_1LA1LD
174942,1RB---_0RC0LC_1RD1RA_0LE0LE_1LA1LD
177764,1RB---_0RC0LC_1RD1LC_1LE1RE_1RA0LE
185646,1RB---_0RC0LC_1LD0RE_0RB0LE_1RA0RC
185648,1RB---_0RC0LC_1LD0RE_0RB0LE_1RA0LB
185649,1RB---_0RC0LC_1LD0RE_0RB0LE_1RA0LC
185650,1RB---_0RC0LC_1LD0RE_0RB0LE_1RA0LD
185651,1RB---_0RC0LC_1LD0RE_0RB0LE_1RA1LD
185770,1RB---_0RC0LC_1LD0RE_0RE0LE_1RA0LC
185906,1RB---_0RC0LC_1LD0RE_0LE0RC_1RA0LB
186048,1RB---_0RC0LC_1LD0RE_1RD0LE_1RA1LD
186260,1RB---_0RC0LC_1LD0RE_1LB0LD_0LA1RA
186277,1RB---_0RC0LC_1LD0RE_1LB0LE_0LA0RA
186658,1RB---_0RC0LC_1LD0LA_1LE1RE_1LB0RD
187869,1RB---_0RC0LC_1LD1RA_0LE0RB_0RB1LB
187872,1RB---_0RC0LC_1LD1RA_0LE0RB_0RE1LB
187873,1RB---_0RC0LC_1LD1RA_0LE0RB_1RA1LB
187874,1RB---_0RC0LC_1LD1RA_0LE0RB_1RB1LB
187875,1RB---_0RC0LC_1LD1RA_0LE0RB_1RD1LB
187876,1RB---_0RC0LC_1LD1RA_0LE0RB_1RE1LB
187877,1RB---_0RC0LC_1LD1RA_0LE0RB_1LB0RD
187878,1RB---_0RC0LC_1LD1RA_0LE0RB_1LB1LB
187881,1RB---_0RC0LC_1LD1RA_0LE0RE_1LA1LD
187885,1RB---_0RC0LC_1LD1RA_0LE0LD_0RA1LB
187886,1RB---_0RC0LC_1LD1RA_0LE0LD_0RB1LB
187888,1RB---_0RC0LC_1LD1RA_0LE0LD_1RA1LB
187889,1RB---_0RC0LC_1LD1RA_0LE0LD_1RA1LD
187890,1RB---_0RC0LC_1LD1RA_0LE0LD_1RD1LB
187891,1RB---_0RC0LC_1LD1RA_0LE0LD_1LB0RD
187892,1RB---_0RC0LC_1LD1RA_0LE0LD_1LB1LB
187893,1RB---_0RC0LC_1LD1RA_0LE0LD_1LB1LD
187902,1RB---_0RC0LC_1LD1RA_0LE0LE_1LA1LD
187944,1RB---_0RC0LC_1LD1RA_1RE0LD_0RB1LD
187948,1RB---_0RC0LC_1LD1RA_1RE0LE_1LA1LD
187986,1RB---_0RC0LC_1LD1RA_1LE0LD_1RB0RB
189267,1RB---_0RC0LC_1LD1RC_1RE1LE_0LA1LB
190959,1RB---_0RC0LC_1LD1RE_1LB0RB_0RD0RA
190960,1RB---_0RC0LC_1LD1RE_1LB0RB_0RD1RA
193835,1RB---_0RC0LD_0RD0RA_0LE1RD_1LA1LB
193857,1RB---_0RC0LD_0RD0RA_1LE1LB_1LA---
194510,1RB---_0RC0LD_0RD0LA_1LE1RD_1LA1LB
194950,1RB---_0RC0LD_0RD1RB_0RE0LA_1LE1LB
195014,1RB---_0RC0LD_0RD1RB_1RE0LE_1LB---
195069,1RB---_0RC0LD_0RD1RB_1LD1RE_1RA0LE
195205,1RB---_0RC0LD_0RD1RC_0RE0LA_1LE0LB
195214,1RB---_0RC0LD_0RD1RC_0LE1RA_1LB1LE
195367,1RB---_0RC0LD_0RD1RD_0LE1LB_1LA0RA
199539,1RB---_0RC0LD_0LD0RE_0LE1LC_0RA1LD
204342,1RB---_0RC0LD_1RD0RA_1LE1LB_1LA0LB
204343,1RB---_0RC0LD_1RD0RA_1LE1LB_1LA0LD
204344,1RB---_0RC0LD_1RD0RA_1LE1LB_1LA1RD
204345,1RB---_0RC0LD_1RD0RA_1LE1LB_1LA1LA
205565,1RB---_0RC0LD_1RD0RE_1LE0RA_0LB0LD
205730,1RB---_0RC0LD_1RD0LA_1LE0RB_0LC0RB
205731,1RB---_0RC0LD_1RD0LA_1LE0RB_1LA0LD
205881,1RB---_0RC0LD_1RD0LB_1RE0LE_1LC1RA
206381,1RB---_0RC0LD_1RD0LE_1LB1RA_1LC1RE
206460,1RB---_0RC0LD_1RD0LE_1LC1RA_1LC0LE
206531,1RB---_0RC0LD_1RD0LE_1LE1RA_1LC0LE
206571,1RB---_0RC0LD_1RD1RA_0LE0RA_1RB1LD
206572,1RB---_0RC0LD_1RD1RA_0LE0RA_1LA1LD
206579,1RB---_0RC0LD_1RD1RA_0LE0RD_1LB1RE
206681,1RB---_0RC0LD_1RD1RA_1LE0RA_1LA0LD
207070,1RB---_0RC0LD_1RD1RB_1LE1LB_1RC1LA
207745,1RB---_0RC0LD_1RD1RE_0LE0RA_1RB1LD
208128,1RB---_0RC0LD_1RD1RE_1LC1RA_0RB1LE
210200,1RB---_0RC0LD_1RD1LE_1LE1RA_1RD0LC
210842,1RB---_0RC0LD_1LA0RA_0LC1LE_1RC0LB
210864,1RB---_0RC0LD_1LA0RA_1RB1LE_0LD1LA
210865,1RB---_0RC0LD_1LA0RA_1RB1LE_0LD1LD
211185,1RB---_0RC0LD_1LA0RB_1RB1LE_0LD1LC
211347,1RB---_0RC0LD_1LA0RB_1LC0LE_1RA1LB
212031,1RB---_0RC0LD_1LA0RD_0RB1LE_1LC0LA
212381,1RB---_0RC0LD_1LA0RD_1RB1LE_0LD1LA
213757,1RB---_0RC0LD_1LA0LB_1RE1RD_1LC0RA
223185,1RB---_0RC0LD_1LB1RD_1RE0LB_1RC0RA
227067,1RB---_0RC0LD_1LC1RD_0RA0LE_0RD1LA
229218,1RB---_0RC0LD_1LD0RA_1RB1LE_0LD1LA
229219,1RB---_0RC0LD_1LD0RA_1RB1LE_0LD1LD
229828,1RB---_0RC0LD_1LD0RC_0LE1RE_1RA0LC
230255,1RB---_0RC0LD_1LD0RD_1RB1LE_0LD1LA
230702,1RB---_0RC0LD_1LD0RE_0LE0LC_1RA0RA
233562,1RB---_0RC0LD_1LD1RA_0LE0RA_1RB0LB
233563,1RB---_0RC0LD_1LD1RA_0LE0RA_1RB1LD
233564,1RB---_0RC0LD_1LD1RA_0LE0RA_1LA0LB
233565,1RB---_0RC0LD_1LD1RA_0LE0RA_1LA1LD
233569,1RB---_0RC0LD_1LD1RA_0LE0RB_1RB1LD
233596,1RB---_0RC0LD_1LD1RA_0LE0RE_1RB0LB
236014,1RB---_0RC0LD_1LD1RE_0LE0RA_1RB1LD
241574,1RB---_0RC0LE_0RD0RA_1RE0LC_1LB1RC
241580,1RB---_0RC0LE_0RD0RA_1RE1RE_1LB1RC
241597,1RB---_0RC0LE_0RD0RA_1LC1RE_1LB1RC
242565,1RB---_0RC0LE_0RD0LA_1LD1LB_---0RD
242941,1RB---_0RC0LE_0RD0LD_0LE0RA_1LA1LC
243161,1RB---_0RC0LE_0RD0LE_1RE1RA_1LC0LC
243377,1RB---_0RC0LE_0RD1RA_1RE---_1LB0LE
243580,1RB---_0RC0LE_0RD1RB_1LA1RA_0LB1LE
244170,1RB---_0RC0LE_0RD1RC_1LD1LB_0LA1LD
246866,1RB---_0RC0LE_0RD1LD_1LE0LB_0LA1LB
249082,1RB---_0RC0LE_0LD0RA_1LB1LC_1RC1LE
249087,1RB---_0RC0LE_0LD0RA_1LB1LE_1LC0RA
249088,1RB---_0RC0LE_0LD0RA_1LB1LE_1LC0RC
249089,1RB---_0RC0LE_0LD0RA_1LB1LE_1LC1LB
250283,1RB---_0RC0LE_0LD0RE_1RC1LB_1RA0LC
250380,1RB---_0RC0LE_0LD0RE_1LB0LC_1RA1RC
252712,1RB---_0RC0LE_0LD1RC_1LB0RE_1RA0LC
256738,1RB---_0RC0LE_1RD0RA_0LB1RB_1LE1LD
256829,1RB---_0RC0LE_1RD0RA_1LB1RD_1RE0LD
256872,1RB---_0RC0LE_1RD0RA_1LD1LA_0LC1LB
259315,1RB---_0RC0LE_1RD0LA_1RE1RA_1LB0LE
259339,1RB---_0RC0LE_1RD0LA_1LB0RB_1LB---
259756,1RB---_0RC0LE_1RD0LB_1RE0RE_1LC1RA
260464,1RB---_0RC0LE_1RD0LC_1LB1RA_1LC0RB
260741,1RB---_0RC0LE_1RD0LD_1LC1LB_1RA0RE
260923,1RB---_0RC0LE_1RD0LE_1RE1RA_1LC0LD
260966,1RB---_0RC0LE_1RD0LE_1LB1RA_1LC0LD
261236,1RB---_0RC0LE_1RD1RA_1LB0RB_1LB0LE
261253,1RB---_0RC0LE_1RD1RA_1LB0LD_1LD0RA
261254,1RB---_0RC0LE_1RD1RA_1LB0LD_1LD0LD
261255,1RB---_0RC0LE_1RD1RA_1LB0LD_1LE0LD
261259,1RB---_0RC0LE_1RD1RA_1LB1RB_0LE0LD
261261,1RB---_0RC0LE_1RD1RA_1LB1RB_1LD0LD
261265,1RB---_0RC0LE_1RD1RA_1LB1RD_0LD0RE
261282,1RB---_0RC0LE_1RD1RA_1LD0RB_1LE0LB
261303,1RB---_0RC0LE_1RD1RA_1LE0RB_1LB0LE
261314,1RB---_0RC0LE_1RD1RA_1LE0LD_1LB0LE
261317,1RB---_0RC0LE_1RD1RA_1LE1RB_0RB0LD
261504,1RB---_0RC0LE_1RD1RB_1RE1RA_1LB0LE
261554,1RB---_0RC0LE_1RD1RB_1LB0RC_0LD---
262903,1RB---_0RC0LE_1RD1RC_1LB1LE_0RA1LD
263885,1RB---_0RC0LE_1RD1RE_1LB0RB_1LD0RA
264611,1RB---_0RC0LE_1RD1LA_1LB0RB_0LD0LA
264778,1RB---_0RC0LE_1RD1LA_1LC0RE_0LA1LB
264926,1RB---_0RC0LE_1RD1LA_1LE0RE_0LA1LB
266783,1RB---_0RC0LE_1RD1LC_1RE1RA_1LB0LE
270543,1RB---_0RC0LE_1LB1RD_1RE0RA_0LB1RC
274459,1RB---_0RC0LE_1LC1RD_1RA1LE_0RC0LD
274461,1RB---_0RC0LE_1LC1RD_1RA1LE_0RE0LD
274592,1RB---_0RC0LE_1LC1RD_1RD0RB_1LB0LA
275018,1RB---_0RC0LE_1LC1RD_1LE0RB_1LB0LA
276205,1RB---_0RC0LE_1LD0RA_1RB0LB_1RC1RE
276678,1RB---_0RC0LE_1LD0RB_1LB1LA_1RA1LD
282254,1RB---_0RC0LE_1LD1RC_0LB0RD_1RA0LA
284066,1RB---_0RC0LE_1LD1RD_1LB0RE_1RA0LD
284113,1RB---_0RC0LE_1LD1RD_1LB1RA_0RE0LC
285287,1RB---_0RC0LE_1LD1RE_1LB1RA_0RD0LD
285291,1RB---_0RC0LE_1LD1RE_1LB1RA_1RA0LD
288435,1RB---_0RC0LE_1LD1LC_0LB0RE_1RA0RD
289955,1RB---_0RC1RA_0RD1RB_1LD1RE_1RA0LE
290697,1RB---_0RC1RA_0LD0RB_0LE1LC_1LA0LD
291699,1RB---_0RC1RA_1RD0LD_1LC1LE_0RB1RC
291749,1RB---_0RC1RA_1RD0LE_1LE0LB_1LC1LB
292055,1RB---_0RC1RA_1LC0RD_1RB0LE_1LD0LC
292165,1RB---_0RC1RA_1LD0RB_0LD1LE_0RB1RC
292167,1RB---_0RC1RA_1LD0RB_0LD1LE_1LB1RC
292177,1RB---_0RC1RA_1LD0RC_0LE---_1RA0LC
292178,1RB---_0RC1RA_1LD0RC_0LE1LC_0RA0LC
292327,1RB---_0RC1RA_1LD0LE_0LE0LC_0RA1LD
292328,1RB---_0RC1RA_1LD0LE_0LE0LD_0RA1LD
292330,1RB---_0RC1RA_1LD0LE_0LE1LC_0RA0LC
292343,1RB---_0RC1RA_1LD0LE_1RD1LC_0RA0LC
292357,1RB---_0RC1RA_1LD1RA_0LE0LD_0RA1LD
292359,1RB---_0RC1RA_1LD1RA_0LE0LD_1RB1LD
292383,1RB---_0RC1RA_1LD1RB_0LE0LE_0RA0LC
292386,1RB---_0RC1RA_1LD1RB_0LE1RB_1RC0LD
292398,1RB---_0RC1RA_1LD1RB_0LE1LC_1LA0LD
292411,1RB---_0RC1RA_1LD1RC_0LE0LE_1RA0LC
292428,1RB---_0RC1RA_1LD1RC_1RE0LE_1RA0LC
292444,1RB---_0RC1RA_1LD1RD_0LE0LB_1RA0LD
292461,1RB---_0RC1RA_1LD1RD_1LE0LB_1RC0LD
292466,1RB---_0RC1RA_1LD1RE_0LE0LD_1RB1LD
292590,1RB---_0RC1RA_1LD1LE_0LC0RB_1RD0LE
292774,1RB---_0RC1RB_0RD0RE_0LD1LE_1LA0LD
292979,1RB---_0RC1RB_0RD0LD_1LE0RB_0LA1LC
296697,1RB---_0RC1RB_0LD1RA_1RC0LE_0LA1LD
297426,1RB---_0RC1RB_0LD1RD_1LE0RA_0RD0LB
299069,1RB---_0RC1RB_1RD0RA_0LE0LC_1LC1LD
299082,1RB---_0RC1RB_1RD0RA_1LE0LC_1LA0LD
299227,1RB---_0RC1RB_1RD0RD_1LE0LB_1LA0LD
299274,1RB---_0RC1RB_1RD0RE_0LE0RE_1LA1LD
299279,1RB---_0RC1RB_1RD0RE_0LE0LE_1LA1LD
299892,1RB---_0RC1RB_1RD0LE_1RE0RA_1LC0LE
299893,1RB---_0RC1RB_1RD0LE_1RE0RA_1LC1LB
299910,1RB---_0RC1RB_1RD0LE_1LC0RA_1LC0LD
299911,1RB---_0RC1RB_1RD0LE_1LC0RA_1LC0LE
299912,1RB---_0RC1RB_1RD0LE_1LC0RA_1LC1LB
299929,1RB---_0RC1RB_1RD0LE_1LC1RA_1LC0LE
300006,1RB---_0RC1RB_1RD0LE_1LE0RA_1LC0LE
300007,1RB---_0RC1RB_1RD0LE_1LE0RA_1LC1LB
300039,1RB---_0RC1RB_1RD0LE_1LE1RA_1LC0LE
300110,1RB---_0RC1RB_1RD1RA_1LE0LD_0RB0LD
302124,1RB---_0RC1RB_1LC0RD_1RA0LE_0LD0RC
302125,1RB---_0RC1RB_1LC0RD_1RA0LE_0LD0LB
302260,1RB---_0RC1RB_1LC0LD_0RA1LE_1LC0LA
302430,1RB---_0RC1RB_1LC0LD_1RA0LE_0RA1LD
302662,1RB---_0RC1RB_1LC0LD_1LE0LB_1LA0RE
302754,1RB---_0RC1RB_1LC1RD_0RA1LE_1LD0LD
303246,1RB---_0RC1RB_1LC1LD_0LE1LE_1RA0RC
303712,1RB---_0RC1RB_1LD0RA_0LE---_1LB0LB
303789,1RB---_0RC1RB_1LD0RB_0LE1LA_1RB0LC
304176,1RB---_0RC1RB_1LD0RD_0LE0LA_0RA0LC
304204,1RB---_0RC1RB_1LD0RD_0LE1RE_1RA0LB
304209,1RB---_0RC1RB_1LD0RD_0LE1LA_0RA0LC
304616,1RB---_0RC1RB_1LD0RE_0LE0RE_1LA1LD
304620,1RB---_0RC1RB_1LD0RE_0LE0LE_1LA1LD
304652,1RB---_0RC1RB_1LD0RE_1RD0LE_1RA1LD
304672,1RB---_0RC1RB_1LD0RE_1RE0LE_1LA1LD
305763,1RB---_0RC1RB_1LD0LE_1LC0LA_0RA1LD
305871,1RB---_0RC1RB_1LD1RA_0LE0LD_1RA1LD
305872,1RB---_0RC1RB_1LD1RA_0LE0LD_1LB1LD
306515,1RB---_0RC1RB_1LD1RD_0LE0RA_0RA0LB
306537,1RB---_0RC1RB_1LD1RD_0LE1RA_0RA0LB
308556,1RB---_0RC1RB_1LD1LE_0LC0RA_1RD0LE
309537,1RB---_0RC1RC_0RD0LE_1RE1RA_1LC0LD
309698,1RB---_0RC1RC_0RD0LE_1LD1LA_0RE0RB
319714,1RB---_0RC1RC_1RD0RC_0LE0RE_1LA1LD
320969,1RB---_0RC1RC_1RD1RB_1LE1LD_0RA0LE
321080,1RB---_0RC1RC_1RD1RC_1LE1LD_0RA0LE
326862,1RB---_0RC1RC_1LD0RA_0LE0LD_1RB0LB
327002,1RB---_0RC1RC_1LD0RB_0LE1LD_0RA1LA
327003,1RB---_0RC1RC_1LD0RB_0LE1LD_0RE1LA
327005,1RB---_0RC1RC_1LD0RB_0LE1LD_1RB1LA
328070,1RB---_0RC1RC_1LD0RE_0LD1LE_0RB0LA
328611,1RB---_0RC1RC_1LD0LA_0LD0LE_1RE0RB
330339,1RB---_0RC1RC_1LD0LE_0LC---_1RA1RB
331071,1RB---_0RC1RC_1LD1RA_1LE0RD_1RC0LE
333537,1RB---_0RC1RC_1LD1RE_0LE0RC_1RA0LD
340717,1RB---_0RC1RD_0RD1LA_1LD1RE_1RA0LE
341696,1RB---_0RC1RD_0RD1LD_0LE0LA_1LA1LC
